net,length_um
_05718_,38.48µm
_03181_,38.45µm
_01832_,38.42µm
_05373_,38.4µm
_01273_,38.34µm
_03676_,38.34µm
net942,38.28µm
_02792_,38.26µm
_05553_,38.22µm
_00117_,38.16µm
_01522_,38.08µm
_04279_,38.08µm
_01919_,38.04µm
_00298_,38.02µm
_04773_,38.02µm
_06315_,38.02µm
_01993_,37.96µm
_04908_,37.93µm
_00450_,37.92µm
_05844_,37.88µm
_06474_,37.88µm
_04161_,37.78µm
_01178_,37.775µm
_06151_,37.76µm
_02303_,37.745µm
_01841_,37.74µm
_04058_,37.74µm
_06182_,37.64µm
_05705_,37.54µm
_03391_,37.52µm
_01584_,37.515µm
_06035_,37.48µm
_01648_,37.32µm
_06360_,37.32µm
_00813_,37.24µm
_00995_,37.22µm
_00116_,37.17µm
_04986_,36.98µm
net776,36.88µm
_02739_,36.86µm
_05541_,36.86µm
_01547_,36.82µm
_03691_,36.78µm
_05872_,36.78µm
_00999_,36.68µm
_04454_,36.68µm
_03082_,36.66µm
_01373_,36.625µm
_06333_,36.62µm
_01820_,36.49µm
_00399_,36.44µm
_06331_,36.44µm
_03894_,36.4µm
_02427_,36.34µm
_04491_,36.34µm
_00091_,36.24µm
_00419_,36.22µm
_04541_,36.21µm
_05540_,36.16µm
_05534_,36.09µm
_01869_,36.06µm
_01680_,36.04µm
_06288_,36.04µm
_03049_,36.02µm
_04010_,35.98µm
_01349_,35.94µm
_01827_,35.84µm
_02168_,35.84µm
_05592_,35.8µm
_00128_,35.76µm
net107,35.74µm
_02769_,35.72µm
_05194_,35.68µm
_00852_,35.67µm
_04964_,35.64µm
_05112_,35.64µm
_05425_,35.64µm
_02082_,35.6µm
_05211_,35.52µm
_00823_,35.48µm
net696,35.465µm
_01608_,35.44µm
_02798_,35.4µm
_03858_,35.3µm
_01027_,35.24µm
_05056_,35.24µm
_00435_,35.2µm
_04576_,35.18µm
_05863_,35.1µm
_00084_,35.04µm
_01228_,35.04µm
_06558_,35.02µm
_02556_,35µm
_05184_,35µm
_02819_,34.95µm
_02462_,34.86µm
_06735_,34.84µm
_02527_,34.82µm
_01663_,34.8µm
_04452_,34.78µm
_06559_,34.74µm
_01543_,34.72µm
_00403_,34.69µm
_01130_,34.68µm
_00723_,34.66µm
_04283_,34.54µm
_03340_,34.52µm
_04496_,34.505µm
_00541_,34.44µm
_05695_,34.44µm
net905,34.44µm
_05470_,34.36µm
_00107_,34.32µm
_00407_,34.28µm
_05535_,34.2µm
_05357_,34.18µm
_00112_,34.16µm
_01616_,34.16µm
_04497_,34.16µm
_02828_,34.14µm
_04569_,34.14µm
_05251_,34.14µm
_06444_,34.1µm
_00239_,34.08µm
_06809_,34.08µm
_02187_,34.04µm
_01861_,34.02µm
_02975_,34.02µm
_01140_,33.96µm
_04650_,33.96µm
_06017_,33.9µm
_00236_,33.88µm
_06577_,33.86µm
_03308_,33.84µm
_04742_,33.82µm
_05550_,33.82µm
_00215_,33.815µm
_05506_,33.74µm
_05424_,33.66µm
_06757_,33.6µm
_01990_,33.52µm
_04311_,33.52µm
_03364_,33.48µm
_04745_,33.46µm
_00819_,33.42µm
_00127_,33.32µm
_05514_,33.32µm
_03672_,33.3µm
net378,33.235µm
_01270_,33.2µm
_04374_,33.14µm
_02570_,33.1µm
_04578_,33.1µm
_00690_,33.08µm
_05045_,33.05µm
_01583_,33.04µm
_00279_,32.98µm
_04972_,32.88µm
_04663_,32.82µm
_03840_,32.78µm
_02172_,32.72µm
_05709_,32.7µm
_04401_,32.68µm
_04812_,32.66µm
_04414_,32.62µm
_00263_,32.58µm
_04264_,32.58µm
_03453_,32.56µm
_00955_,32.485µm
_01464_,32.46µm
_00111_,32.44µm
_00461_,32.44µm
_01367_,32.42µm
_04644_,32.42µm
_01807_,32.36µm
_05896_,32.36µm
_04987_,32.34µm
_06601_,32.34µm
_00083_,32.32µm
_03937_,32.32µm
_01833_,32.28µm
_01668_,32.26µm
_03382_,32.19µm
_03720_,32.16µm
_01880_,32.12µm
_00979_,32µm
_00726_,31.96µm
_03845_,31.92µm
_01722_,31.86µm
_04419_,31.86µm
_05433_,31.835µm
_04694_,31.76µm
_02426_,31.73µm
_04673_,31.68µm
_04028_,31.66µm
net75,31.62µm
_01521_,31.58µm
_03540_,31.58µm
_04968_,31.56µm
_05530_,31.56µm
_06095_,31.56µm
_03692_,31.54µm
_05363_,31.54µm
_00751_,31.52µm
_03993_,31.48µm
_02635_,31.46µm
_01018_,31.42µm
_06251_,31.42µm
_03083_,31.4µm
_04730_,31.36µm
_03725_,31.355µm
_05577_,31.34µm
_02146_,31.3µm
_02012_,31.26µm
_06716_,31.26µm
_03948_,31.22µm
_05385_,31.18µm
_03631_,31.16µm
_02016_,31.14µm
_02718_,31.14µm
_03992_,31.1µm
_04817_,31.1µm
_03147_,31.08µm
_00424_,31.04µm
_01842_,31µm
_05701_,30.92µm
_06698_,30.9µm
_03681_,30.88µm
_04274_,30.845µm
_02606_,30.84µm
net405,30.835µm
_03677_,30.8µm
_01119_,30.78µm
_04465_,30.78µm
_05200_,30.76µm
_02494_,30.73µm
_04434_,30.72µm
_04313_,30.68µm
_00978_,30.66µm
_04001_,30.62µm
_06123_,30.62µm
_06662_,30.6µm
_00567_,30.52µm
_00926_,30.52µm
_05129_,30.52µm
_04347_,30.46µm
_00267_,30.32µm
_02225_,30.32µm
_06063_,30.315µm
_06494_,30.28µm
_00106_,30.26µm
_01500_,30.24µm
_00283_,30.2µm
_06155_,30.12µm
_05549_,30.1µm
_04381_,30.08µm
_04718_,30.08µm
_06319_,30.08µm
_03117_,30.04µm
_06753_,30.03µm
_00691_,30.02µm
_05437_,30.02µm
_02659_,29.95µm
_00287_,29.94µm
_01999_,29.94µm
_04573_,29.92µm
_05480_,29.88µm
_05843_,29.86µm
_02647_,29.83µm
_04073_,29.82µm
_04920_,29.8µm
_00848_,29.78µm
_02425_,29.76µm
_05243_,29.715µm
_04296_,29.68µm
_02437_,29.66µm
_01506_,29.62µm
_03429_,29.61µm
_00588_,29.6µm
_04493_,29.56µm
_04686_,29.52µm
_04768_,29.52µm
_02450_,29.475µm
_05428_,29.46µm
_02008_,29.44µm
_00042_,29.42µm
_02063_,29.4µm
_01341_,29.39µm
_03055_,29.38µm
_03343_,29.38µm
_06770_,29.36µm
_04958_,29.32µm
_06220_,29.3µm
_04779_,29.28µm
_00271_,29.26µm
_04299_,29.24µm
