Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_135_113,VGND,li1,60.2600,380.8000,0.001074
FILLER_135_111,VGND,li1,56.8100,380.8000,0.000954
FILLER_135_105,VGND,li1,55.2000,380.8000,0.000954
FILLER_135_93,VGND,li1,51.0600,380.8000,0.000855
FILLER_135_81,VGND,li1,45.5400,380.8000,0.000696
FILLER_135_69,VGND,li1,40.0200,380.8000,0.000592
FILLER_135_57,VGND,li1,34.5000,380.8000,0.000461
FILLER_135_55,VGND,li1,31.0500,380.8000,0.000352
FILLER_135_51,VGND,li1,29.9000,380.8000,0.000352
FILLER_135_39,VGND,li1,26.2200,380.8000,0.000238
FILLER_135_27,VGND,li1,20.7000,380.8000,0.000238
FILLER_135_15,VGND,li1,15.1800,380.8000,0.000238
FILLER_135_3,VGND,li1,9.6600,380.8000,0.000238
FILLER_134_821,VGND,li1,383.8700,375.3600,0.000402
FILLER_134_813,VGND,li1,381.3400,375.3600,0.000402
FILLER_134_811,VGND,li1,378.8100,375.3600,0.000402
FILLER_134_805,VGND,li1,377.2000,375.3600,0.000402
FILLER_134_793,VGND,li1,373.0600,375.3600,0.000402
FILLER_134_781,VGND,li1,367.5400,375.3600,0.000402
FILLER_134_769,VGND,li1,362.0200,375.3600,0.000402
FILLER_134_757,VGND,li1,356.5000,375.3600,0.000402
FILLER_134_755,VGND,li1,353.0500,375.3600,0.000402
FILLER_134_749,VGND,li1,351.4400,375.3600,0.000402
FILLER_134_737,VGND,li1,347.3000,375.3600,0.000402
FILLER_134_725,VGND,li1,341.7800,375.3600,0.000402
FILLER_134_713,VGND,li1,336.2600,375.3600,0.000402
FILLER_134_701,VGND,li1,328.4400,375.3600,0.000584
FILLER_134_699,VGND,li1,327.2900,375.3600,0.000584
FILLER_134_686,VGND,li1,321.5400,375.3600,0.000783
FILLER_134_664,VGND,li1,311.1900,375.3600,0.001195
FILLER_134_652,VGND,li1,305.6700,375.3600,0.001338
FILLER_134_645,VGND,li1,302.4500,375.3600,0.001375
FILLER_134_641,VGND,li1,301.0700,375.3600,0.001375
FILLER_134_629,VGND,li1,297.6200,375.3600,0.001418
FILLER_134_625,VGND,li1,293.2500,375.3600,0.001472
FILLER_134_613,VGND,li1,290.2600,375.3600,0.001523
FILLER_134_601,VGND,li1,284.7400,375.3600,0.001582
FILLER_134_565,VGND,li1,265.8800,375.3600,0.001649
FILLER_134_557,VGND,li1,263.5800,375.3600,0.001649
FILLER_134_545,VGND,li1,258.9800,375.3600,0.001649
FILLER_134_533,VGND,li1,253.4600,375.3600,0.001648
FILLER_134_531,VGND,li1,250.0100,375.3600,0.001647
FILLER_134_527,VGND,li1,248.8600,375.3600,0.001647
FILLER_134_515,VGND,li1,245.1800,375.3600,0.001646
FILLER_134_494,VGND,li1,235.5200,375.3600,0.001641
FILLER_134_490,VGND,li1,231.1500,375.3600,0.001638
FILLER_134_486,VGND,li1,230.0000,375.3600,0.001638
FILLER_134_477,VGND,li1,225.4000,375.3600,0.001634
FILLER_134_464,VGND,li1,221.7200,375.3600,0.001632
FILLER_134_441,VGND,li1,211.1400,375.3600,0.001621
FILLER_134_421,VGND,li1,199.6400,375.3600,0.001529
FILLER_134_417,VGND,li1,198.0300,375.3600,0.001473
FILLER_134_405,VGND,li1,194.5800,375.3600,0.001375
FILLER_134_396,VGND,li1,187.9100,375.3600,0.001163
FILLER_134_392,VGND,li1,186.7600,375.3600,0.001086
FILLER_134_380,VGND,li1,183.0800,375.3600,0.001015
FILLER_134_365,VGND,li1,175.2600,375.3600,0.000952
FILLER_134_360,VGND,li1,172.0400,375.3600,0.001147
FILLER_134_345,VGND,li1,166.0600,375.3600,0.001355
FILLER_134_333,VGND,li1,161.4600,375.3600,0.001494
FILLER_134_317,VGND,li1,152.0300,375.3600,0.001791
FILLER_134_309,VGND,li1,149.5000,375.3600,0.001848
FILLER_134_305,VGND,li1,146.5100,375.3600,0.001968
FILLER_134_293,VGND,li1,141.6800,375.3600,0.002031
FILLER_134_281,VGND,li1,135.0100,375.3600,0.002076
FILLER_134_275,VGND,li1,133.4000,375.3600,0.002080
FILLER_134_263,VGND,li1,129.2600,375.3600,0.002088
FILLER_134_253,VGND,li1,122.1300,375.3600,0.002082
FILLER_134_250,VGND,li1,120.9800,375.3600,0.002072
FILLER_134_242,VGND,li1,118.6800,375.3600,0.002052
FILLER_134_229,VGND,li1,111.3200,375.3600,0.002004
FILLER_134_208,VGND,li1,103.0400,375.3600,0.001925
FILLER_134_203,VGND,li1,99.1300,375.3600,0.001904
FILLER_134_197,VGND,li1,97.5200,375.3600,0.001877
FILLER_134_193,VGND,li1,94.9900,375.3600,0.001858
FILLER_134_183,VGND,li1,90.1600,375.3600,0.001819
FILLER_134_165,VGND,li1,81.8800,375.3600,0.001734
FILLER_134_153,VGND,li1,78.6600,375.3600,0.001687
FILLER_134_141,VGND,li1,73.1400,375.3600,0.001559
FILLER_134_139,VGND,li1,69.6900,375.3600,0.001466
FILLER_134_129,VGND,li1,65.5500,375.3600,0.001357
FILLER_134_121,VGND,li1,63.0200,375.3600,0.001300
FILLER_134_109,VGND,li1,58.4200,375.3600,0.001144
FILLER_134_97,VGND,li1,52.9000,375.3600,0.001026
FILLER_134_85,VGND,li1,47.3800,375.3600,0.000876
FILLER_134_83,VGND,li1,43.9300,375.3600,0.000738
FILLER_134_77,VGND,li1,42.3200,375.3600,0.000738
FILLER_134_65,VGND,li1,38.1800,375.3600,0.000626
FILLER_134_53,VGND,li1,32.6600,375.3600,0.000476
FILLER_134_41,VGND,li1,27.1400,375.3600,0.000326
FILLER_134_29,VGND,li1,21.6200,375.3600,0.000272
FILLER_134_27,VGND,li1,18.1700,375.3600,0.000272
FILLER_134_15,VGND,li1,15.1800,375.3600,0.000272
FILLER_134_3,VGND,li1,9.6600,375.3600,0.000272
FILLER_133_821,VGND,li1,383.8700,375.3600,0.000402
FILLER_133_809,VGND,li1,380.4200,375.3600,0.000402
FILLER_133_797,VGND,li1,374.9000,375.3600,0.000402
FILLER_133_785,VGND,li1,369.3800,375.3600,0.000402
FILLER_133_783,VGND,li1,365.9300,375.3600,0.000402
FILLER_133_775,VGND,li1,363.8600,375.3600,0.000402
FILLER_133_763,VGND,li1,359.2600,375.3600,0.000402
FILLER_133_751,VGND,li1,353.7400,375.3600,0.000402
FILLER_133_739,VGND,li1,348.2200,375.3600,0.000402
FILLER_133_725,VGND,li1,339.7100,375.3600,0.000402
FILLER_133_718,VGND,li1,336.4900,375.3600,0.000402
FILLER_133_710,VGND,li1,333.9600,375.3600,0.000401
FILLER_133_686,VGND,li1,321.3100,375.3600,0.000847
FILLER_133_680,VGND,li1,319.7000,375.3600,0.000847
FILLER_133_671,VGND,li1,314.4100,375.3600,0.001076
FILLER_133_667,VGND,li1,313.2600,375.3600,0.001076
FILLER_133_655,VGND,li1,309.5800,375.3600,0.001195
FILLER_133_642,VGND,li1,302.2200,375.3600,0.001375
FILLER_133_630,VGND,li1,298.0800,375.3600,0.001418
FILLER_133_610,VGND,li1,286.5800,375.3600,0.001554
FILLER_133_602,VGND,li1,284.2800,375.3600,0.001582
FILLER_133_598,VGND,li1,280.8300,375.3600,0.001632
FILLER_133_586,VGND,li1,277.8400,375.3600,0.001650
FILLER_133_574,VGND,li1,272.3200,375.3600,0.001650
FILLER_133_569,VGND,li1,267.4900,375.3600,0.001650
FILLER_133_561,VGND,li1,265.4200,375.3600,0.001649
FILLER_133_559,VGND,li1,262.8900,375.3600,0.001649
FILLER_133_555,VGND,li1,261.7400,375.3600,0.001649
FILLER_133_541,VGND,li1,254.6100,375.3600,0.001648
FILLER_133_533,VGND,li1,252.5400,375.3600,0.001648
